timepoint,BA.2.56,BA.2.7,BA.2.9,BA.2.36,BA.2.12.1,BA.2.73,BA.2.72,BA.2.10,BA.5,BA.5.1,BE.1.1,BA.2.37,BA.5.1.1,BG.5,BA.4.1,BE.1,BA.4.1.3,XAJ,BA.5.2.9,BF.23,BA.5.1.22,BA.2,BA.5.2.1,BA.2.18,BA.5.5,BF.26,BA.2.40,BA.2.81,BA.5.2.21,BF.28,BA.2.13,BF.1,BF.15,BA.5.2.30,BA.2.65,BA.5.1.23,BA.5.1.5,CK.2,BA.5.2.3,XAD,BF.12,BA.2.47,BA.5.2.26,BA.5.2,BA.5.1.6,BA.5.1.3,BE.1.2,BA.5.3.1,BA.5.2.51,BA.5.2.49,CP.1.3,BF.5.5,BF.10,BA.5.9,BE.1.1.1,CF.1,BA.5.2.27,BA.5.2.6,BA.5.2.31,BA.5.2.28,BA.5.2.16,BA.5.1.10,BA.4.8,BA.2.9.4,BA.2.63,BA.2.24,BA.2.4,BA.2.5,XAA,B.1.1.529,BA.5.1.12,BF.7,BF.14,CE.1,BF.7.1,BA.5.2.36,CK.1,BA.5.2.18,BA.5.2.56,BA.5.2.24,BA.5.3,BE.1.1.2,BF.5,BF.5.4,BF.7.24,BF.24,CP.5,CR.1,BA.5.2.57,BN.1,DL.1,BA.4.6,BF.7.23,XBE,BA.5.2.20,CT.1,CK.1.3,BA.5.1.19,BA.1.12,BA.1.13,BA.1.1,BA.1.13.1,BA.1,BA.1.6,BA.1.17.2,BA.3,XAC,BA.1.21.1,XF,XZ,BA.1.1.4,BA.1.20,BA.1.1.15,BA.1.1.1,BA.1.1.6,BA.1.1.8,BA.2.87,BA.1.1.17,BA.1.1.16,BA.2.61,XV,BA.2.3.15,BA.2.27,BA.2.3,BA.2.3.16,BA.5.2.4,BE.4,BF.5.1,BA.5.1.11,BA.5.2.2,BA.5.1.25,BA.4.2,BA.5.1.4,BA.5.1.24,BF.7.21,BF.27,BA.5.1.30,BA.4,BE.1.4.4,BQ.1.1,BN.1.2,BQ.1.10,BQ.1.1.69,BQ.1,BY.1.1,BF.11.3,BQ.1.1.23,XBB.1.15,BF.7.5,BQ.1.1.53,BQ.1.1.1,CM.2,XBB.4,BQ.1.10.1,BA.5.1.27,BQ.1.12,BA.2.75.6,CJ.1.3,CJ.1,BQ.1.2,BA.5.11,BF.7.6,CM.11,BN.1.3.7,BQ.1.5,XBB.1.5.12,BQ.1.1.3,DS.3,BA.4.1.9,BQ.1.6,BF.7.4,BA.5.1.20,BA.2.23,CP.3,BQ.1.2.1,BQ.1.1.68,BM.1.1.1,XBB.1.5.47,BQ.1.1.11,BQ.1.1.34,BN.1.3.4,BQ.1.31,XAS,BA.5.2.62,BA.5.1.21,BF.11,BQ.1.1.46,BQ.1.1.6,BA.5.2.60,BQ.1.1.5,BA.5.5.1,BA.5.2.34,BE.1.4,BF.25,BA.5.2.29,BA.2.11,XAB,XM,BA.2.33,BA.2.71,BA.1.17,AY.43.8,AY.46.6,BA.1.18,BA.1.15,AY.5.1,BA.1.24,B.1.1.33,BA.2.12,XN,BN.1.3,XBB.1.5,BQ.1.16,BQ.1.1.44,BQ.1.1.15,BF.7.15,BA.5.2.52,BN.1.2.5,BQ.1.1.13,EE.3,BQ.1.1.22,BQ.1.22,EE.4,CK.3,CH.1.1.8,BQ.1.1.26,XBB.1,BA.5.2.25,CM.9,BF.7.12,CH.1.1.16,FB.1,BQ.1.1.31,BN.1.2.3,CK.2.1,BA.1.16,BD.1,BA.1.15.1,BA.1.22,AY.122,BA.2.32,BA.2.78,XQ,BF.8,BA.2.25,BA.2.16,XAH,BA.2.3.21,BA.2.21,BA.2.51,BQ.1.3,BF.38,BN.1.3.3,BA.5.2.47,DJ.1,BF.7.9,BQ.1.1.55,BF.7.22,BF.11.1,XBB.1.29,DN.3,XBB,EQ.1,BQ.1.1.14,BA.5.1.33,DB.2,ET.1,BF.39,BA.2.3.6,BA.5.2.35,BQ.1.27,XAZ,BA.5.2.33,BA.5.2.41,BF.41,BA.5.2.50,BA.5.6,BA.5.1.2,BF.9,BA.5.1.9,BA.5.2.22,BF.31,BA.5.2.46,BQ.1.1.47,BF.7.8,CN.1,BA.4.4,XBQ,BA.5.2.12,BA.5.2.54,BA.2.49,BA.2.10.2,BA.2.45,BA.1.1.13,BA.1.16.2,BA.1.19,BA.2.3.2,BA.1.1.11,AY.1,BF.7.13,CK.2.1.1,BA.5.2.58,EB.1,BZ.2,BM.2,BA.5.2.23,BF.7.14,BA.4.6.3,BM.4,XBB.1.4,CZ.2,BQ.1.18,BN.1.2.6,BN.1.3.1,FM.1,XBB.1.5.93,BQ.1.1.49,CH.1,BQ.1.1.4,BQ.1.1.36,BQ.1.15,BQ.1.1.10,BF.3,BA.5.2.53,XBZ,BF.11.4,BF.7.7,BQ.1.1.56,BF.7.17,BQ.1.1.76,XBB.1.3,BN.3.1,BQ.1.3.2,FC.1,CY.1,BQ.1.1.16,BQ.1.1.12,BN.1.3.6,BA.5.2.8,BA.5.1.29,BA.5.10.1,BA.5.1.34,BA.2.85,BA.5.2.32,BF.4,BE.3,BE.11,CC.1,BA.5.6.3,XG,BA.5.1.17,BV.1,XAF,CG.1,BE.1.2.1,BA.5.1.26,BY.1,BF.7.4.1,BQ.1.1.70,sample_name,tool_name
149,0.15,,0.07,,,,0.02,,,0.15,,0.02,,0.08,,0.04,,,,,,,,,,,,,,,0.05,,,,,,,,,,,0.03,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,0.1,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.01,,,,,,,,,,,,,,,,,freyja_v2.0.0-149,freyja_v2.0.0
156,,,0.1,,0.18,,,,,,,0.04,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,0.12,,,,0.16,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,freyja_v2.0.0-156,freyja_v2.0.0
163,,0.04,0.04,,0.05,,,,0.02,0.2,0.1,0.05,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,freyja_v2.0.0-163,freyja_v2.0.0
172,,,,,,,,,0.35,0.13,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,0.06,,,,,,,,0.13,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,freyja_v2.0.0-172,freyja_v2.0.0
179,,,,,,,,,0.02,0.26,0.22,,,0.03,0.05,,,0.02,,0.01,0.05,,,,,0.02,,,,,0.01,0.02,0.01,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.01,,0.01,0.01,0.01,,,,,,,,,,,,,,,0.02,,,0.02,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,freyja_v2.0.0-179,freyja_v2.0.0
186,,,,,,,,,,0.2,0.17,,0.03,,0.03,,,0.03,,0.01,0.03,,,,0.02,0.02,,,0.02,,,,,0.01,,0.02,,,,,,,,0.06,,0.02,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.02,,0.01,0.02,0.02,0.01,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.03,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,freyja_v2.0.0-186,freyja_v2.0.0
193,,,,,,,,,,0.25,0.15,,0.04,0.02,0.02,0.05,,,,0.05,0.02,,0.09,,0.03,,,,0.03,,,0.01,,,,,,,0.02,,,,,,,0.01,,,0.02,,,,,,,,,,,0.03,,,,,,,,,,,,,0.02,,,,,,,,,,0.02,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,freyja_v2.0.0-193,freyja_v2.0.0
200,,,,,,,,,0.08,0.05,0.04,,,,,0.05,0.01,,,,,,0.07,,0.08,,,,,,,,,,,0.04,,,,,,,,0.14,0.05,0.05,0.05,0.05,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,freyja_v2.0.0-200,freyja_v2.0.0
205,,,,,,,,,,0.19,0.14,,0.02,,0.02,,,,,,0.05,,0.04,,,0.02,,,,,,,0.02,0.01,,0.04,0.02,,0.02,,0.07,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.03,,0.03,0.03,,,,0.02,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.02,0.01,,,,,,,,,,,freyja_v2.0.0-205,freyja_v2.0.0
214,,,,,,,,,,0.23,0.07,,,,0.03,,,,,0.04,0.03,,,,,,0.01,,0.01,0.11,,,,,,,,,0.02,,,,0.03,0.03,,0.01,,0.03,0.01,0.01,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.02,0.04,,,,,,,,,,,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,freyja_v2.0.0-214,freyja_v2.0.0
221,,,,,,,,,,0.14,0.07,,,,,,,,,,0.04,,,,0.02,0.02,,,,0.08,,,,,,,0.01,,,,,,,0.04,,,,0.02,,,,,,,,,,,,,,,0.04,,,,,,,,,,0.06,,,0.04,,0.04,0.04,0.04,0.01,0.04,0.02,0.01,,,,,,,,0.01,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,freyja_v2.0.0-221,freyja_v2.0.0
228,,,,,,,,,,0.12,0.06,,0.03,,,0.02,,,0.07,0.09,0.05,,,,,,,,0.01,0.12,,,,,,,0.04,,,,,,,0.02,,,,,,,,,,,0.02,,,0.08,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.04,,0.02,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,freyja_v2.0.0-228,freyja_v2.0.0
235,,,,,,,,,,0.1,,,0.01,,,,,,0.03,,,,,,,,,,0.1,,,,,,,,,,,,,,0.03,,,0.07,,0.08,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,0.04,0.06,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.05,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,0.08,0.05,0.01,,,,,,,,,,,,,,freyja_v2.0.0-235,freyja_v2.0.0
240,,,,,,,,,0.09,0.14,0.03,,0.01,,,,,,0.02,,0.02,,,,,,,,0.04,0.13,,,,,,,,,,,,,0.03,0.1,,0.05,,0.04,,,,,,0.03,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.01,0.02,,,,0.02,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,0.02,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,freyja_v2.0.0-240,freyja_v2.0.0
249,,,,,,,,,,0.06,,,0.02,,,,,,,,0.04,,0.02,,,0.01,,,,,,,,,,,0.01,,0.02,,0.02,,,0.06,,,,0.04,,,,,,,,,,,,,,0.04,0.02,,,,,,,,0.06,0.07,0.04,0.02,,,,,,,,0.01,0.05,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.02,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.04,,,,,,,,,,,0.02,,,,,,,0.01,,,0.02,,,,,,,,,,,0.02,,0.04,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,freyja_v2.0.0-249,freyja_v2.0.0
254,,,,,,,,,,0.04,0.04,,0.02,,,0.01,,,0.05,,0.03,,,,,0.01,,,,0.03,,,0.01,,,0.05,0.01,,,,,,,,,,,,,,,,,0.06,,,,,,,,0.01,,,,,,,,,0.04,,0.12,0.07,,0.03,0.03,0.03,0.03,0.03,0.04,0.01,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,,,,,,,,freyja_v2.0.0-254,freyja_v2.0.0
263,,,,,,,,,,0.08,0.06,,0.03,,,,0.01,,0.03,,,,0.04,,,0.02,,,0.01,,,,,,,0.03,,,0.02,,0.07,,0.01,0.01,,0.01,,,,,,,0.02,0.02,0.02,,,,,,,0.02,,,,,,,,,,,0.05,,,0.02,,0.02,0.03,0.03,,,0.02,,,,,,,,,0.02,0.01,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.03,0.02,0.02,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,freyja_v2.0.0-263,freyja_v2.0.0
268,,,,,,,,,,0.11,0.01,,,,,,,,0.01,,0.03,,,,,0.02,,,,,,,,,,0.03,,,,,,,0.02,0.03,,,0.02,,,,,,,0.03,0.03,,,0.01,,,,,,,,,,,,,0.11,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,freyja_v2.0.0-268,freyja_v2.0.0
277,,,,,,,,,,0.07,,,,,,,,,,,0.03,,,,,0.03,,,,0.06,,,,,,,,,,,,,,0.04,,,,0.03,,,,,,0.03,,,,,,,,,,,0.02,,,,,,0.07,0.06,0.09,,,0.02,0.02,0.02,0.02,0.02,,0.02,,,0.01,,0.02,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.01,,,0.02,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,0.04,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,freyja_v2.0.0-277,freyja_v2.0.0
284,,,,,,,,,,0.1,0.05,,0.02,,,,,,0.02,,0.02,,0.02,,,0.02,,,,0.01,,,,,,0.02,,,,,,,,0.03,,,,,,,,,,0.02,0.02,,,,,0.13,,,0.02,,,,,,,,,0.07,0.08,,,,0.02,,,,0.02,,0.02,0.01,,,,,,,,,0.01,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.02,0.01,,,,,,,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.01,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,0.01,,,,,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,freyja_v2.0.0-284,freyja_v2.0.0
289,,,,,,,,,,,0.02,,,,,,,,0.03,,0.06,,0.03,,,0.02,,,0.06,0.06,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,0.05,0.13,0.06,,,,0.03,,,,,0.02,0.03,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.03,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,0.02,,,,,,,,,,,,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,freyja_v2.0.0-289,freyja_v2.0.0
296,,,,,,,,,,0.13,,,,,,,,,0.06,,,,,,,,,,0.04,,,,,,,,0.02,,,,,,,,,0.02,,,0.01,,,0.01,,0.03,,,,,0.02,,,,,,,,,,,,,0.16,0.08,,,,,0.01,,,,0.01,0.01,,,,,,,,,,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.01,0.01,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.02,,,,,,,,,,,0.02,,,,,,,,,0.02,,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,freyja_v2.0.0-296,freyja_v2.0.0
312,,,,,,,,,0.04,,,,,,,,,,0.02,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,0.04,,,,,,,,,,,0.01,0.16,0.04,0.01,,0.03,,,,,,,,,,,0.01,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.01,,,,,,,0.01,,,0.01,,,,,,,,,,,,,,,,0.02,0.01,,,0.03,,,,,,,,,0.01,,,,,,0.02,,,0.02,,,,,,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,0.02,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.01,,,,,,,,,0.05,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,0.02,,,,,0.04,,,,,,0.02,0.02,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,freyja_v2.0.0-312,freyja_v2.0.0
319,,,,,,,,,,0.05,,,,,,,,,,,,,,,0.02,0.02,,,0.02,,,,,,,0.02,,,,,,,,0.01,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.09,0.09,0.02,0.02,,0.05,,,,,,0.02,,,,0.01,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.03,,,0.02,,,,,,,,,,,,,,0.02,0.02,,,,,,,,,,,,,0.01,,,,,0.08,,0.01,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,0.02,0.02,,,,,,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,0.02,,,,,,,,,,,,,0.02,0.02,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,freyja_v2.0.0-319,freyja_v2.0.0
